workforce,report_year,gender_us,race_asian,race_black,race_hispanic_latinx,race_native_american,race_white
overall,2018,women,0.087,0.012,0.016,0.004,0.166
overall,2019,women,0.091,0.012,0.018,0.004,0.15
overall,2020,women,0.079,0.017,0.019,0.005,0.153
overall,2021,women,0.094,0.025,0.018,0.005,0.144
overall,2022,women,0.107,0.02,0.019,0.003,0.132
overall,2018,men,0.224,0.028,0.044,0.004,0.462
overall,2019,men,0.223,0.027,0.044,0.005,0.466
overall,2020,men,0.241,0.025,0.04,0.007,0.465
overall,2021,men,0.258,0.026,0.047,0.006,0.428
overall,2022,men,0.288,0.03,0.047,0.007,0.4
tech,2018,women,0.074,0.007,0.008,,0.096
tech,2019,women,0.075,0.006,0.011,,0.088
tech,2020,women,0.065,0.007,0.009,,0.112
tech,2021,women,0.09,0.011,0.01,,0.091
tech,2022,women,0.108,0.008,0.011,0.003,0.088
tech,2018,men,0.273,0.024,0.041,,0.52
tech,2019,men,0.276,0.023,0.04,0.005,0.511
tech,2020,men,0.296,0.021,0.04,0.007,0.488
tech,2021,men,0.318,0.02,0.046,,0.453
tech,2022,men,0.351,0.021,0.043,0.007,0.41
non_tech,2018,women,0.115,0.024,0.034,0.01,0.308
non_tech,2019,women,0.129,0.027,0.036,,0.295
non_tech,2020,women,0.109,0.038,0.042,0.009,0.25
non_tech,2021,women,0.102,0.06,0.037,0.011,0.278
non_tech,2022,women,0.104,0.05,0.04,,0.25
non_tech,2018,men,0.12,0.035,0.05,,0.342
non_tech,2019,men,0.099,0.036,0.055,,0.361
non_tech,2020,men,0.111,0.033,0.04,,0.411
non_tech,2021,men,0.109,0.04,0.05,0.013,0.364
non_tech,2022,men,0.119,0.055,0.057,0.008,0.373
