workforce,report_year,gender_us,race_asian,race_black,race_hispanic_latinx,race_native_american,race_white
overall,2015,women,0.116,0.012,0.019,0.004,0.16
overall,2016,women,0.122,0.016,0.021,0.003,0.148
overall,2017,women,0.142,0.017,0.018,0.002,0.141
overall,2018,women,0.142,0.014,0.02,0.002,0.144
overall,2019,women,0.156,0.022,0.027,0.005,0.162
overall,2020,women,0.161,0.023,0.023,0.004,0.13
overall,2021,women,0.152,0.034,0.025,0.003,0.137
overall,2022,women,0.174,0.043,0.032,0.003,0.148
overall,2015,men,0.233,0.023,0.04,0.005,0.433
overall,2016,men,0.252,0.027,0.044,0.004,0.401
overall,2017,men,0.289,0.02,0.04,0.004,0.37
overall,2018,men,0.296,0.026,0.043,0.006,0.353
overall,2019,men,0.283,0.026,0.041,0.005,0.323
overall,2020,men,0.324,0.032,0.043,0.004,0.301
overall,2021,men,0.277,0.054,0.062,0.005,0.308
overall,2022,men,0.289,0.05,0.058,0.005,0.254
tech,2015,women,0.109,0.004,0.009,0.003,0.102
tech,2016,women,0.122,0.006,0.009,0.001,0.098
tech,2017,women,0.142,0.007,0.01,0.001,0.095
tech,2018,women,0.144,0.006,0.011,0.001,0.104
tech,2019,women,0.159,0.008,0.014,0.003,0.103
tech,2020,women,0.165,0.01,0.014,0.003,0.089
tech,2021,women,0.171,0.018,0.018,0.002,0.096
tech,2022,women,0.184,0.02,0.018,0.002,0.098
tech,2015,men,0.277,0.016,0.038,0.006,0.475
tech,2016,men,0.303,0.019,0.036,0.003,0.433
tech,2017,men,0.337,0.016,0.039,0.004,0.386
tech,2018,men,0.352,0.02,0.038,0.006,0.356
tech,2019,men,0.359,0.02,0.039,0.005,0.333
tech,2020,men,0.39,0.025,0.041,0.004,0.298
tech,2021,men,0.342,0.044,0.066,0.004,0.294
non_tech,2022,men,0.365,0.04,0.056,0.005,0.261
non_tech,2015,women,0.134,0.034,0.044,0.006,0.307
non_tech,2016,women,0.124,0.04,0.05,0.007,0.27
non_tech,2017,women,0.141,0.046,0.042,0.004,0.282
non_tech,2018,women,0.134,0.039,0.046,0.006,0.26
non_tech,2019,women,0.148,0.052,0.056,0.01,0.292
non_tech,2020,women,0.152,0.056,0.046,0.007,0.238
non_tech,2021,women,0.115,0.064,0.04,0.004,0.217
non_tech,2022,women,0.154,0.092,0.061,0.005,0.252
non_tech,2015,men,0.121,0.039,0.044,0.004,0.325
non_tech,2016,men,0.123,0.049,0.062,0.007,0.326
non_tech,2017,men,0.134,0.036,0.044,0.005,0.323
non_tech,2018,men,0.128,0.044,0.058,0.005,0.344
non_tech,2019,men,0.115,0.04,0.047,0.006,0.302
non_tech,2020,men,0.146,0.051,0.051,0.006,0.31
non_tech,2021,men,0.151,0.072,0.056,0.007,0.336
non_tech,2022,men,0.131,0.07,0.064,0.005,0.24
leadership,2015,women,0.108,0.036,0.0,0.0,0.157
leadership,2016,women,0.046,0.0,0.023,0.0,0.161
leadership,2017,women,0.108,0.008,0.008,0.0,0.154
leadership,2018,women,0.099,0.021,0.007,0.0,0.17
leadership,2019,women,0.071,0.005,0.031,0.005,0.163
leadership,2020,women,0.058,0.011,0.022,0.0,0.178
leadership,2021,women,0.068,0.026,,,0.208
leadership,2022,women,0.119,0.047,,,0.178
leadership,2015,men,0.181,0.012,0.024,0.0,0.518
leadership,2016,men,0.207,0.023,0.011,0.0,0.529
leadership,2017,men,0.223,0.008,0.015,0.015,0.492
leadership,2018,men,0.177,0.035,0.035,0.014,0.461
leadership,2019,men,0.255,0.031,0.02,0.0,0.434
leadership,2020,men,0.222,0.026,0.022,0.007,0.484
leadership,2021,men,0.168,0.045,0.045,,0.45
leadership,2022,men,0.215,0.079,0.03,,0.336
