workforce,report_year,race_asian,race_black,race_hispanic_latinx,race_native_american,race_white,gender_us_women,gender_us_men,gender_global_women,gender_global_men
overall,2018,85,122,110,97,110,90,105,94,103
overall,2019,81,112,106,104,110,86,105,90,104
overall,2020,80,112,97,131,117,82,108,87,106
overall,2021,85,121,105,136,112,82,108,84,107
overall,2022,94,102,99,126,107,80,110,83,108
tech,2018,84,155,120,71,115,81,107,84,105
tech,2019,80,120,110,104,114,76,106,78,107
tech,2020,79,121,101,116,122,79,107,83,105
tech,2021,86,130,110,103,115,76,108,78,107
tech,2022,95,92,100,156,109,77,108,80,107
non_tech,2018,97,92,102,181,101,93,108,94,106
non_tech,2019,93,96,102,116,104,95,107,92,107
non_tech,2020,85,103,87,133,106,82,117,88,110
non_tech,2021,80,121,96,183,106,90,109,87,110
non_tech,2022,84,112,98,91,105,85,116,86,112
