workforce,report_year,race_asian,race_black,race_hispanic_latinx,race_native_american,race_white,gender_us_women,gender_us_men,gender_global_women,gender_global_men
overall,2015,0.349,0.035,0.059,0.009,0.593,0.294,0.706,0.307,0.693
overall,2016,0.374,0.043,0.065,0.007,0.549,0.294,0.706,0.306,0.694
overall,2017,0.43,0.037,0.058,0.006,0.511,0.304,0.696,0.316,0.684
overall,2018,0.438,0.041,0.063,0.008,0.497,0.304,0.696,0.313,0.687
overall,2019,0.439,0.048,0.068,0.011,0.485,0.349,0.651,0.332,0.668
overall,2020,0.485,0.055,0.066,0.008,0.431,0.321,0.679,0.325,0.675
overall,2021,0.428,0.088,0.088,0.007,0.445,0.331,0.669,0.337,0.663
overall,2022,0.463,0.094,0.09,0.008,0.402,0.376,0.624,0.375,0.625
tech,2015,0.386,0.02,0.048,0.009,0.578,0.218,0.782,0.208,0.792
tech,2016,0.425,0.025,0.045,0.004,0.531,0.227,0.773,0.221,0.779
tech,2017,0.481,0.022,0.049,0.005,0.481,0.244,0.756,0.236,0.764
tech,2018,0.497,0.026,0.049,0.007,0.46,0.254,0.746,0.246,0.754
tech,2019,0.518,0.028,0.053,0.008,0.435,0.273,0.727,0.257,0.743
tech,2020,0.555,0.035,0.055,0.007,0.387,0.267,0.733,0.256,0.744
tech,2021,0.513,0.062,0.084,0.006,0.39,0.289,0.711,0.279,0.721
tech,2022,0.549,0.06,0.074,0.007,0.358,0.306,0.694,0.291,0.709
non_tech,2015,0.255,0.073,0.088,0.01,0.633,0.489,0.511,0.46,0.54
non_tech,2016,0.247,0.09,0.113,0.015,0.596,0.459,0.541,0.442,0.558
non_tech,2017,0.276,0.082,0.086,0.009,0.606,0.487,0.513,0.468,0.532
non_tech,2018,0.262,0.084,0.104,0.011,0.604,0.452,0.548,0.439,0.561
non_tech,2019,0.263,0.092,0.102,0.016,0.593,0.516,0.484,0.472,0.528
non_tech,2020,0.299,0.106,0.096,0.012,0.548,0.466,0.534,0.439,0.561
non_tech,2021,0.265,0.137,0.095,0.01,0.552,0.414,0.586,0.411,0.589
non_tech,2022,0.285,0.163,0.124,0.011,0.492,0.524,0.476,0.491,0.509
leadership,2015,0.28,0.048,0.024,0.0,0.683,0.289,0.711,0.301,0.699
leadership,2016,0.253,0.023,0.034,0.0,0.69,0.23,0.77,0.257,0.743
leadership,2017,0.331,0.015,0.023,0.015,0.646,0.275,0.725,0.296,0.704
leadership,2018,0.277,0.057,0.043,0.014,0.631,0.284,0.716,0.294,0.706
leadership,2019,0.327,0.036,0.051,0.005,0.597,0.26,0.74,0.259,0.741
leadership,2020,0.28,0.036,0.044,0.007,0.662,0.246,0.754,0.261,0.739
leadership,2021,0.237,0.071,0.058,,0.658,0.304,0.696,0.289,0.711
leadership,2022,0.333,0.126,0.049,,0.514,0.351,0.649,0.359,0.641
